Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
erlang:TCP Sampler,4306959,18,0,209,12.67,0.00%,18179.6,142.03,8.0
TOTAL,4306959,18,0,209,12.67,0.00%,18179.6,142.03,8.0
