Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
erlang:TCP Sampler,2067919,0,0,691,1.66,0.00%,7487.3,58.49,8.0
TOTAL,2067919,0,0,691,1.66,0.00%,7487.3,58.49,8.0
