Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
nodejs:TCP Sampler,4562462,6,0,224,15.38,0.00%,17587.7,137.40,8.0
TOTAL,4562462,6,0,224,15.38,0.00%,17587.7,137.40,8.0
