Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
erlang:TCP Sampler,3999175,0,0,988,3.07,0.00%,7174.9,56.05,8.0
TOTAL,3999175,0,0,988,3.07,0.00%,7174.9,56.05,8.0
