Generate Summary Results = 32230182 in   697s = 46231.1/s Avg:    21 Min:     0 Max:   243 Err:     0 (0.00%)
Generate Summary Results + 1216679 in    30s = 40556.0/s Avg:    24 Min:     0 Max:   101 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 33446861 in   727s = 45997.0/s Avg:    21 Min:     0 Max:   243 Err:     0 (0.00%)
Generate Summary Results + 1236328 in    30s = 41210.9/s Avg:    24 Min:     0 Max:   106 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 34683189 in   757s = 45807.4/s Avg:    21 Min:     0 Max:   243 Err:     0 (0.00%)
Generate Summary Results + 1247450 in    30s = 41581.7/s Avg:    24 Min:     0 Max:    94 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 35930639 in   787s = 45646.3/s Avg:    21 Min:     0 Max:   243 Err:     0 (0.00%)
Generate Summary Results + 1257073 in    30s = 41902.4/s Avg:    23 Min:     0 Max:   104 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 37187712 in   817s = 45508.9/s Avg:    21 Min:     0 Max:   243 Err:     0 (0.00%)
Generate Summary Results + 1265025 in    30s = 42167.5/s Avg:    23 Min:     0 Max:    95 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 38452737 in   847s = 45390.5/s Avg:    21 Min:     0 Max:   243 Err:     0 (0.00%)
Generate Summary Results + 1268280 in    30s = 42276.0/s Avg:    23 Min:     0 Max:    99 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 39721017 in   877s = 45284.0/s Avg:    21 Min:     0 Max:   243 Err:     0 (0.00%)
Generate Summary Results + 959852 in  23.3s = 41282.2/s Avg:    24 Min:     0 Max:   124 Err:     0 (0.00%) Active: 0 Started: 1000 Finished: 1000
Generate Summary Results = 40680869 in   900s = 45180.7/s Avg:    21 Min:     0 Max:   243 Err:     0 (0.00%)
