Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
erlang:TCP Sampler,100000,0,0,181,1.09,0.00%,3164.4,24.72,8.0
TOTAL,100000,0,0,181,1.09,0.00%,3164.4,24.72,8.0
