Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
erlang:TCP Sampler,2015873,0,0,744,3.04,0.00%,7449.8,58.20,8.0
TOTAL,2015873,0,0,744,3.04,0.00%,7449.8,58.20,8.0
