Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
erlang:TCP Sampler,2002371,0,0,772,2.97,0.00%,5463.9,42.69,8.0
TOTAL,2002371,0,0,772,2.97,0.00%,5463.9,42.69,8.0
