Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
akka:TCP Sampler,4546887,0,0,173,1.91,0.00%,14211.6,97.15,7.0
TOTAL,4546887,0,0,173,1.91,0.00%,14211.6,97.15,7.0
