Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
erlang:TCP Sampler,2006087,0,0,695,1.64,0.00%,7564.0,59.09,8.0
TOTAL,2006087,0,0,695,1.64,0.00%,7564.0,59.09,8.0
