Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
erlang:TCP Sampler,5513122,31,0,378,11.03,0.00%,24247.8,189.44,8.0
TOTAL,5513122,31,0,378,11.03,0.00%,24247.8,189.44,8.0
