Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
TCP Sampler,100000,0,0,373,1.27,0.00%,2907.1,22.71,8.0
TOTAL,100000,0,0,373,1.27,0.00%,2907.1,22.71,8.0
