Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
TCP Sampler,100000,0,0,180,1.62,0.00%,3299.7,25.78,8.0
TOTAL,100000,0,0,180,1.62,0.00%,3299.7,25.78,8.0
