Generate Summary Results + 1177583 in    30s = 39252.8/s Avg:    25 Min:     1 Max:    75 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 27548368 in   647s = 42592.6/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1174297 in    30s = 39143.2/s Avg:    25 Min:     1 Max:    70 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 28722665 in   677s = 42439.7/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1166711 in    30s = 38890.4/s Avg:    25 Min:     1 Max:    77 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 29889376 in   707s = 42289.1/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1121459 in    30s = 37382.0/s Avg:    26 Min:     1 Max:    80 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 31010835 in   737s = 42089.3/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1111192 in    30s = 37039.7/s Avg:    26 Min:     1 Max:    78 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 32122027 in   767s = 41891.7/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1157159 in    30s = 38572.0/s Avg:    25 Min:     1 Max:    70 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 33279186 in   797s = 41766.7/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1160962 in    30s = 38698.7/s Avg:    25 Min:     1 Max:    82 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 34440148 in   827s = 41655.4/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1164436 in    30s = 38814.5/s Avg:    25 Min:     1 Max:    73 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 35604584 in   857s = 41555.9/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1147278 in    30s = 38242.6/s Avg:    26 Min:     1 Max:    75 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 36751862 in   887s = 41443.8/s Avg:    24 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 511925 in  13.4s = 38137.9/s Avg:    26 Min:     2 Max:    72 Err:     0 (0.00%) Active: 0 Started: 1000 Finished: 1000
Generate Summary Results = 37263787 in   900s = 41394.5/s Avg:    24 Min:     0 Max:   223 Err:     0 (0.00%)
